Country;Year;Series;Value
Dominican Republic;2005;Population density;188.2710
Dominican Republic;2010;Population mid-year estimates (millions);9.6951
Dominican Republic;2010;Population mid-year estimates for males (millions);4.8659
Dominican Republic;2010;Population mid-year estimates for females (millions);4.8292
Dominican Republic;2010;Sex ratio (males per 100 females);100.7606
Dominican Republic;2010;Population aged 0 to 14 years old (percentage);30.6104
Dominican Republic;2010;Population aged 60+ years old (percentage);8.5013
Dominican Republic;2010;Population density;200.6441
Dominican Republic;2017;Population mid-year estimates (millions);10.5131
Dominican Republic;2017;Population mid-year estimates for males (millions);5.2582
Dominican Republic;2017;Population mid-year estimates for females (millions);5.2549
Dominican Republic;2017;Sex ratio (males per 100 females);100.0616
Dominican Republic;2017;Population aged 0 to 14 years old (percentage);28.2506
Dominican Republic;2017;Population aged 60+ years old (percentage);10.1888
Dominican Republic;2017;Population density;217.5725
Dominican Republic;2017;Surface area (thousand km2);48.6710
Dominican Republic;2019;Population mid-year estimates (millions);10.7390
Dominican Republic;2019;Population mid-year estimates for males (millions);5.3662
Dominican Republic;2019;Population mid-year estimates for females (millions);5.3728
Dominican Republic;2019;Sex ratio (males per 100 females);99.8779
Dominican Republic;2019;Population aged 0 to 14 years old (percentage);27.7087
Dominican Republic;2019;Population aged 60+ years old (percentage);10.7919
Dominican Republic;2019;Population density;222.2466
Ecuador;2005;Population mid-year estimates (millions);13.8258
Ecuador;2005;Population mid-year estimates for males (millions);6.9337
Ecuador;2005;Population mid-year estimates for females (millions);6.8922
Ecuador;2005;Sex ratio (males per 100 females);100.6024
Ecuador;2005;Population aged 0 to 14 years old (percentage);33.1345
Ecuador;2005;Population aged 60+ years old (percentage);7.8324
Ecuador;2005;Population density;55.6686
Ecuador;2010;Population mid-year estimates (millions);15.0111
Ecuador;2010;Population mid-year estimates for males (millions);7.5204
Ecuador;2010;Population mid-year estimates for females (millions);7.4908
Ecuador;2010;Sex ratio (males per 100 females);100.3950
Ecuador;2010;Population aged 0 to 14 years old (percentage);31.0373
Ecuador;2010;Population aged 60+ years old (percentage);8.5580
Ecuador;2010;Population density;60.4410
Ecuador;2017;Population mid-year estimates (millions);16.7854
Ecuador;2017;Population mid-year estimates for males (millions);8.3990
Ecuador;2017;Population mid-year estimates for females (millions);8.3863
Ecuador;2017;Sex ratio (males per 100 females);100.1517
Ecuador;2017;Population aged 0 to 14 years old (percentage);28.3616
Ecuador;2017;Population aged 60+ years old (percentage);10.2459
Ecuador;2017;Population density;67.5848
Ecuador;2017;Surface area (thousand km2);257.2170
Ecuador;2019;Population mid-year estimates (millions);17.3737
Ecuador;2019;Population mid-year estimates for males (millions);8.6905
Ecuador;2019;Population mid-year estimates for females (millions);8.6832
Ecuador;2019;Sex ratio (males per 100 females);100.0843
Ecuador;2019;Population aged 0 to 14 years old (percentage);27.7070
Ecuador;2019;Population aged 60+ years old (percentage);10.7376
Ecuador;2019;Population density;69.9535
Egypt;2005;Population mid-year estimates (millions);75.5236
Egypt;2005;Population mid-year estimates for males (millions);38.0976
Egypt;2005;Population mid-year estimates for females (millions);37.4260
Egypt;2005;Sex ratio (males per 100 females);101.7947
Egypt;2005;Population aged 0 to 14 years old (percentage);33.8447
Egypt;2005;Population aged 60+ years old (percentage);7.0926
Egypt;2005;Population density;75.8688
Egypt;2010;Population mid-year estimates (millions);82.7612
Egypt;2010;Population mid-year estimates for males (millions);41.8062
Egypt;2010;Population mid-year estimates for females (millions);40.9550
Egypt;2010;Sex ratio (males per 100 females);102.0784
Egypt;2010;Population aged 0 to 14 years old (percentage);32.5562
Egypt;2010;Population aged 60+ years old (percentage);7.5648
Egypt;2010;Population density;83.1395
Egypt;2017;Population mid-year estimates (millions);96.4426
Egypt;2017;Population mid-year estimates for males (millions);48.7358
Egypt;2017;Population mid-year estimates for females (millions);47.7068
Egypt;2017;Sex ratio (males per 100 females);102.1568
Egypt;2017;Population aged 0 to 14 years old (percentage);33.7755
Egypt;2017;Population aged 60+ years old (percentage);7.8905
Egypt;2017;Population density;96.8834
Egypt;2017;Surface area (thousand km2);1002.0000
Egypt;2019;Population mid-year estimates (millions);100.3881
Egypt;2019;Population mid-year estimates for males (millions);50.7226
Egypt;2019;Population mid-year estimates for females (millions);49.6655
Egypt;2019;Sex ratio (males per 100 females);102.1285
Egypt;2019;Population aged 0 to 14 years old (percentage);33.8348
Egypt;2019;Population aged 60+ years old (percentage);8.1171
Egypt;2019;Population density;100.8469
El Salvador;2005;Population mid-year estimates (millions);6.0521
El Salvador;2005;Population mid-year estimates for males (millions);2.8886
El Salvador;2005;Population mid-year estimates for females (millions);3.1636
El Salvador;2005;Sex ratio (males per 100 females);91.3066
El Salvador;2005;Population aged 0 to 14 years old (percentage);34.7743
El Salvador;2005;Population aged 60+ years old (percentage);9.0833
El Salvador;2005;Population density;292.0909
El Salvador;2010;Population mid-year estimates (millions);6.1839
El Salvador;2010;Population mid-year estimates for males (millions);2.9265
El Salvador;2010;Population mid-year estimates for females (millions);3.2574
El Salvador;2010;Sex ratio (males per 100 females);89.8410
El Salvador;2010;Population aged 0 to 14 years old (percentage);31.6407
El Salvador;2010;Population aged 60+ years old (percentage);9.9157
El Salvador;2010;Population density;298.4496
El Salvador;2017;Population mid-year estimates (millions);6.3881
El Salvador;2017;Population mid-year estimates for males (millions);2.9978
El Salvador;2017;Population mid-year estimates for females (millions);3.3903
El Salvador;2017;Sex ratio (males per 100 females);88.4228
El Salvador;2017;Population aged 0 to 14 years old (percentage);27.4456
El Salvador;2017;Population aged 60+ years old (percentage);11.4037
El Salvador;2017;Population density;308.3072
El Salvador;2017;Surface area (thousand km2);21.0408
El Salvador;2019;Population mid-year estimates (millions);6.4536
El Salvador;2019;Population mid-year estimates for males (millions);3.0234
El Salvador;2019;Population mid-year estimates for females (millions);3.4302
El Salvador;2019;Sex ratio (males per 100 females);88.1393
El Salvador;2019;Population aged 0 to 14 years old (percentage);26.8584
El Salvador;2019;Population aged 60+ years old (percentage);11.8282
El Salvador;2019;Population density;311.4649
Equatorial Guinea;2005;Population mid-year estimates (millions);0.7495
Equatorial Guinea;2005;Population mid-year estimates for males (millions);0.3978
Equatorial Guinea;2005;Population mid-year estimates for females (millions);0.3517
Equatorial Guinea;2005;Sex ratio (males per 100 females);113.0973
Equatorial Guinea;2005;Population aged 0 to 14 years old (percentage);39.5755
Equatorial Guinea;2005;Population aged 60+ years old (percentage);5.0385
Equatorial Guinea;2005;Population density;26.7214
Equatorial Guinea;2010;Population mid-year estimates (millions);0.9436
Equatorial Guinea;2010;Population mid-year estimates for males (millions);0.5134
Equatorial Guinea;2010;Population mid-year estimates for females (millions);0.4302
Equatorial Guinea;2010;Sex ratio (males per 100 females);119.3293
Equatorial Guinea;2010;Population aged 0 to 14 years old (percentage);38.5024
Equatorial Guinea;2010;Population aged 60+ years old (percentage);4.4294
Equatorial Guinea;2010;Population density;33.6413
Equatorial Guinea;2017;Population mid-year estimates (millions);1.2620
Equatorial Guinea;2017;Population mid-year estimates for males (millions);0.7001
Equatorial Guinea;2017;Population mid-year estimates for females (millions);0.5619
Equatorial Guinea;2017;Sex ratio (males per 100 females);124.5989
Equatorial Guinea;2017;Population aged 0 to 14 years old (percentage);37.2850
Equatorial Guinea;2017;Population aged 60+ years old (percentage);4.0158
Equatorial Guinea;2017;Population density;44.9912
Equatorial Guinea;2017;Surface area (thousand km2);28.0515
Equatorial Guinea;2019;Population mid-year estimates (millions);1.3560
Equatorial Guinea;2019;Population mid-year estimates for males (millions);0.7538
Equatorial Guinea;2019;Population mid-year estimates for females (millions);0.6022
Equatorial Guinea;2019;Sex ratio (males per 100 females);125.1867
Equatorial Guinea;2019;Population aged 0 to 14 years old (percentage);36.9568
Equatorial Guinea;2019;Population aged 60+ years old (percentage);3.8681
Equatorial Guinea;2019;Population density;48.3417
Eritrea;2005;Population mid-year estimates (millions);2.8267
Eritrea;2005;Population mid-year estimates for males (millions);1.4103
Eritrea;2005;Population mid-year estimates for females (millions);1.4163
Eritrea;2005;Sex ratio (males per 100 females);99.5767
Eritrea;2005;Population aged 0 to 14 years old (percentage);38.6157
Eritrea;2005;Population aged 60+ years old (percentage);6.0924
Eritrea;2005;Population density;27.9867
Eritrea;2010;Population mid-year estimates (millions);3.1704
Eritrea;2010;Population mid-year estimates for males (millions);1.5841
Eritrea;2010;Population mid-year estimates for females (millions);1.5864
Eritrea;2010;Sex ratio (males per 100 females);99.8555
Eritrea;2010;Population aged 0 to 14 years old (percentage);39.4833
Eritrea;2010;Population aged 60+ years old (percentage);6.2237
Eritrea;2010;Population density;31.3904
Eritrea;2017;Population mid-year estimates (millions);3.4129
Eritrea;2017;Population mid-year estimates for males (millions);1.7102
Eritrea;2017;Population mid-year estimates for females (millions);1.7027
Eritrea;2017;Sex ratio (males per 100 females);100.4412
Eritrea;2017;Population aged 0 to 14 years old (percentage);41.9532
Eritrea;2017;Population aged 60+ years old (percentage);6.4840
Eritrea;2017;Population density;33.7910
Eritrea;2017;Surface area (thousand km2);117.6000
Eritrea;2019;Population mid-year estimates (millions);3.4971
Eritrea;2019;Population mid-year estimates for males (millions);1.7527
Eritrea;2019;Population mid-year estimates for females (millions);1.7444
Eritrea;2019;Sex ratio (males per 100 females);100.4761
Eritrea;2019;Population aged 0 to 14 years old (percentage);41.5849
Eritrea;2019;Population aged 60+ years old (percentage);6.4373
Eritrea;2019;Population density;34.6249
Estonia;2005;Population mid-year estimates (millions);1.3556
Estonia;2005;Population mid-year estimates for males (millions);0.6300
Estonia;2005;Population mid-year estimates for females (millions);0.7257
Estonia;2005;Sex ratio (males per 100 females);86.8151
Estonia;2005;Population aged 0 to 14 years old (percentage);15.1567
Estonia;2005;Population aged 60+ years old (percentage);21.8901
Estonia;2005;Population density;31.9804
Estonia;2010;Population mid-year estimates (millions);1.3321
Estonia;2010;Population mid-year estimates for males (millions);0.6204
Estonia;2010;Population mid-year estimates for females (millions);0.7117
Estonia;2010;Sex ratio (males per 100 females);87.1596
Estonia;2010;Population aged 0 to 14 years old (percentage);15.1332
Estonia;2010;Population aged 60+ years old (percentage);23.2469
Estonia;2010;Population density;31.4249
Estonia;2017;Population mid-year estimates (millions);1.3194
Estonia;2017;Population mid-year estimates for males (millions);0.6202
Estonia;2017;Population mid-year estimates for females (millions);0.6992
Estonia;2017;Sex ratio (males per 100 females);88.6952
Estonia;2017;Population aged 0 to 14 years old (percentage);16.2219
Estonia;2017;Population aged 60+ years old (percentage);25.8842
Estonia;2017;Population density;31.1250
Estonia;2017;Surface area (thousand km2);45.2270
Estonia;2019;Population mid-year estimates (millions);1.3256
Estonia;2019;Population mid-year estimates for males (millions);0.6266
Estonia;2019;Population mid-year estimates for females (millions);0.6990
Estonia;2019;Sex ratio (males per 100 females);89.6431
Estonia;2019;Population aged 0 to 14 years old (percentage);16.4633
Estonia;2019;Population aged 60+ years old (percentage);26.5131
Estonia;2019;Population density;31.2727
Eswatini;2005;Population mid-year estimates (millions);1.0306
Eswatini;2005;Population mid-year estimates for males (millions);0.4892
Eswatini;2005;Population mid-year estimates for females (millions);0.5413
Eswatini;2005;Sex ratio (males per 100 females);90.3734
Eswatini;2005;Population aged 0 to 14 years old (percentage);41.3282
Eswatini;2005;Population aged 60+ years old (percentage);5.1337
Eswatini;2005;Population density;59.9174
Eswatini;2010;Population mid-year estimates (millions);1.0648
Eswatini;2010;Population mid-year estimates for males (millions);0.5022
Eswatini;2010;Population mid-year estimates for females (millions);0.5627
Eswatini;2010;Sex ratio (males per 100 females);89.2529
Eswatini;2010;Population aged 0 to 14 years old (percentage);40.1881
Eswatini;2010;Population aged 60+ years old (percentage);5.5619
Eswatini;2010;Population density;61.9091
Eswatini;2017;Population mid-year estimates (millions);1.1248
Eswatini;2017;Population mid-year estimates for males (millions);0.5473
Eswatini;2017;Population mid-year estimates for females (millions);0.5775
Eswatini;2017;Sex ratio (males per 100 females);94.7618
Eswatini;2017;Population aged 0 to 14 years old (percentage);38.3444
Eswatini;2017;Population aged 60+ years old (percentage);5.7431
Eswatini;2017;Population density;65.3956
Eswatini;2017;Surface area (thousand km2);17.3630
Eswatini;2019;Population mid-year estimates (millions);1.1481
Eswatini;2019;Population mid-year estimates for males (millions);0.5628
Eswatini;2019;Population mid-year estimates for females (millions);0.5853
Eswatini;2019;Sex ratio (males per 100 females);96.1470
Eswatini;2019;Population aged 0 to 14 years old (percentage);37.8314
Eswatini;2019;Population aged 60+ years old (percentage);5.7235
Eswatini;2019;Population density;66.7517
Ethiopia;2005;Population mid-year estimates (millions);76.3463
Ethiopia;2005;Population mid-year estimates for males (millions);38.0741
Ethiopia;2005;Population mid-year estimates for females (millions);38.2722
Ethiopia;2005;Sex ratio (males per 100 females);99.4823
Ethiopia;2005;Population aged 0 to 14 years old (percentage);46.4907
Ethiopia;2005;Population aged 60+ years old (percentage);4.8749
Ethiopia;2005;Population density;76.3463
Ethiopia;2010;Population mid-year estimates (millions);87.6400
Ethiopia;2010;Population mid-year estimates for males (millions);43.7275
Ethiopia;2010;Population mid-year estimates for females (millions);43.9125
Ethiopia;2010;Sex ratio (males per 100 females);99.5787
Ethiopia;2010;Population aged 0 to 14 years old (percentage);44.9318
Ethiopia;2010;Population aged 60+ years old (percentage);5.1139
Ethiopia;2010;Population density;87.6400
Ethiopia;2017;Population mid-year estimates (millions);106.3999
Ethiopia;2017;Population mid-year estimates for males (millions);53.2147
Ethiopia;2017;Population mid-year estimates for females (millions);53.1852
Ethiopia;2017;Sex ratio (males per 100 females);100.0555
Ethiopia;2017;Population aged 0 to 14 years old (percentage);41.2508
Ethiopia;2017;Population aged 60+ years old (percentage);5.2356
Ethiopia;2017;Population density;106.3999
Ethiopia;2017;Surface area (thousand km2);1104.3000
Ethiopia;2019;Population mid-year estimates (millions);112.0787
Ethiopia;2019;Population mid-year estimates for males (millions);56.0690
Ethiopia;2019;Population mid-year estimates for females (millions);56.0097
Ethiopia;2019;Sex ratio (males per 100 females);100.1059
Ethiopia;2019;Population aged 0 to 14 years old (percentage);40.3364
Ethiopia;2019;Population aged 60+ years old (percentage);5.2979
Ethiopia;2019;Population density;112.0787
Falkland Islands (Malvinas);2001;Population mid-year estimates (millions);0.0029
Falkland Islands (Malvinas);2001;Sex ratio (males per 100 females);121.5209
Falkland Islands (Malvinas);2001;Population aged 0 to 14 years old (percentage);15.0360
Falkland Islands (Malvinas);2001;Population aged 60+ years old (percentage);12.0494
Falkland Islands (Malvinas);2001;Population density;0.2403
Falkland Islands (Malvinas);2005;Population mid-year estimates (millions);0.0029
Falkland Islands (Malvinas);2005;Population density;0.2415
Falkland Islands (Malvinas);2006;Population mid-year estimates (millions);0.0029
Falkland Islands (Malvinas);2006;Sex ratio (males per 100 females);113.2035
Falkland Islands (Malvinas);2006;Population aged 0 to 14 years old (percentage);15.9391
Falkland Islands (Malvinas);2006;Population aged 60+ years old (percentage);14.0102
Falkland Islands (Malvinas);2006;Population density;0.2400
Falkland Islands (Malvinas);2010;Population mid-year estimates (millions);0.0029
Falkland Islands (Malvinas);2010;Population density;0.2343
Falkland Islands (Malvinas);2012;Population mid-year estimates (millions);0.0029
Falkland Islands (Malvinas);2012;Sex ratio (males per 100 females);110.5263
Falkland Islands (Malvinas);2012;Population aged 0 to 14 years old (percentage);16.3732
Falkland Islands (Malvinas);2012;Population aged 60+ years old (percentage);15.7042
Falkland Islands (Malvinas);2012;Population density;0.2348
Falkland Islands (Malvinas);2017;Population mid-year estimates (millions);0.0029
Falkland Islands (Malvinas);2017;Population density;0.2391
Falkland Islands (Malvinas);2017;Surface area (thousand km2);12.1730
Falkland Islands (Malvinas);2019;Population mid-year estimates (millions);0.0034
Falkland Islands (Malvinas);2019;Population density;0.2775
Faroe Islands;2005;Population mid-year estimates (millions);0.0483
Faroe Islands;2005;Sex ratio (males per 100 females);108.0036
Faroe Islands;2005;Population density;34.5881
Faroe Islands;2008;Population mid-year estimates (millions);0.0485
Faroe Islands;2008;Sex ratio (males per 100 females);108.0602
Faroe Islands;2008;Population aged 0 to 14 years old (percentage);22.0266
Faroe Islands;2008;Population aged 60+ years old (percentage);19.2709
Faroe Islands;2008;Population density;34.7314
Faroe Islands;2010;Population mid-year estimates (millions);0.0486
Faroe Islands;2010;Sex ratio (males per 100 females);108.0494
Faroe Islands;2010;Population density;34.7779
Faroe Islands;2015;Population mid-year estimates (millions);0.0490
Faroe Islands;2015;Sex ratio (males per 100 females);107.2033
Faroe Islands;2015;Population aged 0 to 14 years old (percentage);20.9629
Faroe Islands;2015;Population aged 60+ years old (percentage);22.5111
Faroe Islands;2015;Population density;35.0752
Faroe Islands;2015;Surface area (thousand km2);1.3930
Faroe Islands;2017;Population mid-year estimates (millions);0.0493
Faroe Islands;2017;Population density;35.3080
Faroe Islands;2017;Surface area (thousand km2);1.3930
Faroe Islands;2019;Population mid-year estimates (millions);0.0487
Faroe Islands;2019;Population density;34.8696
Fiji;2005;Population mid-year estimates (millions);0.8216
Fiji;2005;Population mid-year estimates for males (millions);0.4190
Fiji;2005;Population mid-year estimates for females (millions);0.4026
Fiji;2005;Sex ratio (males per 100 females);104.0760
Fiji;2005;Population aged 0 to 14 years old (percentage);30.5343
Fiji;2005;Population aged 60+ years old (percentage);6.8725
Fiji;2005;Population density;44.9701
Fiji;2010;Population mid-year estimates (millions);0.8598
Fiji;2010;Population mid-year estimates for males (millions);0.4389
Fiji;2010;Population mid-year estimates for females (millions);0.4209
Fiji;2010;Sex ratio (males per 100 females);104.2935
Fiji;2010;Population aged 0 to 14 years old (percentage);29.0004
Fiji;2010;Population aged 60+ years old (percentage);7.8973
Fiji;2010;Population density;47.0617
Fiji;2017;Population mid-year estimates (millions);0.8775
Fiji;2017;Population mid-year estimates for males (millions);0.4452
Fiji;2017;Population mid-year estimates for females (millions);0.4323
Fiji;2017;Sex ratio (males per 100 females);102.9701
Fiji;2017;Population aged 0 to 14 years old (percentage);29.6513
Fiji;2017;Population aged 60+ years old (percentage);8.6967
Fiji;2017;Population density;48.0273
Fiji;2017;Surface area (thousand km2);18.2720
Fiji;2019;Population mid-year estimates (millions);0.8900
Fiji;2019;Population mid-year estimates for males (millions);0.4510
Fiji;2019;Population mid-year estimates for females (millions);0.4390
Fiji;2019;Sex ratio (males per 100 females);102.7251
Fiji;2019;Population aged 0 to 14 years old (percentage);29.2937
Fiji;2019;Population aged 60+ years old (percentage);9.3197
Fiji;2019;Population density;48.7112
Finland;2005;Population mid-year estimates (millions);5.2589
Finland;2005;Population mid-year estimates for males (millions);2.5740
Finland;2005;Population mid-year estimates for females (millions);2.6849
Finland;2005;Sex ratio (males per 100 females);95.8688
Finland;2005;Population aged 0 to 14 years old (percentage);17.3393
Finland;2005;Population aged 60+ years old (percentage);21.4603
Finland;2005;Population density;17.3054
Finland;2010;Population mid-year estimates (millions);5.3658
Finland;2010;Population mid-year estimates for males (millions);2.6333
Finland;2010;Population mid-year estimates for females (millions);2.7325
Finland;2010;Sex ratio (males per 100 females);96.3724
Finland;2010;Population aged 0 to 14 years old (percentage);16.5226
Finland;2010;Population aged 60+ years old (percentage);24.7645
Finland;2010;Population density;17.6570
Finland;2017;Population mid-year estimates (millions);5.5114
Finland;2017;Population mid-year estimates for males (millions);2.7149
Finland;2017;Population mid-year estimates for females (millions);2.7965
Finland;2017;Sex ratio (males per 100 females);97.0840
Finland;2017;Population aged 0 to 14 years old (percentage);16.2512
Finland;2017;Population aged 60+ years old (percentage);27.8454
Finland;2017;Population density;18.1361
Finland;2017;Surface area (thousand km2);338.4400
Finland;2019;Population mid-year estimates (millions);5.5322
Finland;2019;Population mid-year estimates for males (millions);2.7272
Finland;2019;Population mid-year estimates for females (millions);2.8049
Finland;2019;Sex ratio (males per 100 females);97.2285
Finland;2019;Population aged 0 to 14 years old (percentage);16.0163
Finland;2019;Population aged 60+ years old (percentage);28.6043
Finland;2019;Population density;18.2045
France;2005;Population mid-year estimates (millions);61.1201
France;2005;Population mid-year estimates for males (millions);29.5901
France;2005;Population mid-year estimates for females (millions);31.5300
France;2005;Sex ratio (males per 100 females);93.8476
France;2005;Population aged 0 to 14 years old (percentage);18.4938
France;2005;Population aged 60+ years old (percentage);20.9377
France;2005;Population density;111.6233
France;2010;Population mid-year estimates (millions);62.8795
France;2010;Population mid-year estimates for males (millions);30.4585
France;2010;Population mid-year estimates for females (millions);32.4210
France;2010;Sex ratio (males per 100 females);93.9470
France;2010;Population aged 0 to 14 years old (percentage);18.4778
France;2010;Population aged 60+ years old (percentage);23.0714
France;2010;Population density;114.8365
France;2017;Population mid-year estimates (millions);64.8425
France;2017;Population mid-year estimates for males (millions);31.4042
France;2017;Population mid-year estimates for females (millions);33.4383
France;2017;Sex ratio (males per 100 females);93.9170
France;2017;Population aged 0 to 14 years old (percentage);18.1098
France;2017;Population aged 60+ years old (percentage);25.7358
France;2017;Population density;118.4215
France;2017;Surface area (thousand km2);551.5000
France;2019;Population mid-year estimates (millions);65.1297
France;2019;Population mid-year estimates for males (millions);31.5245
France;2019;Population mid-year estimates for females (millions);33.6052
France;2019;Sex ratio (males per 100 females);93.8083
France;2019;Population aged 0 to 14 years old (percentage);17.8022
France;2019;Population aged 60+ years old (percentage);26.4596
France;2019;Population density;118.9460
French Guiana;2005;Population mid-year estimates (millions);0.2030
French Guiana;2005;Population mid-year estimates for males (millions);0.1006
French Guiana;2005;Population mid-year estimates for females (millions);0.1024
French Guiana;2005;Sex ratio (males per 100 females);98.1849
French Guiana;2005;Population aged 0 to 14 years old (percentage);35.7741
French Guiana;2005;Population aged 60+ years old (percentage);5.7644
French Guiana;2005;Population density;2.4692
French Guiana;2010;Population mid-year estimates (millions);0.2330
French Guiana;2010;Population mid-year estimates for males (millions);0.1165
French Guiana;2010;Population mid-year estimates for females (millions);0.1165
French Guiana;2010;Sex ratio (males per 100 females);99.9228
French Guiana;2010;Population aged 0 to 14 years old (percentage);34.9448
French Guiana;2010;Population aged 60+ years old (percentage);6.5575
French Guiana;2010;Population density;2.8346
French Guiana;2017;Population mid-year estimates (millions);0.2752
French Guiana;2017;Population mid-year estimates for males (millions);0.1358
French Guiana;2017;Population mid-year estimates for females (millions);0.1394
French Guiana;2017;Sex ratio (males per 100 females);97.4309
French Guiana;2017;Population aged 0 to 14 years old (percentage);32.7067
French Guiana;2017;Population aged 60+ years old (percentage);7.9381
French Guiana;2017;Population density;3.3478
French Guiana;2017;Surface area (thousand km2);83.5340
French Guiana;2019;Population mid-year estimates (millions);0.2908
French Guiana;2019;Population mid-year estimates for males (millions);0.1438
French Guiana;2019;Population mid-year estimates for females (millions);0.1471
French Guiana;2019;Sex ratio (males per 100 females);97.7621
French Guiana;2019;Population aged 0 to 14 years old (percentage);32.1213
French Guiana;2019;Population aged 60+ years old (percentage);8.5544
French Guiana;2019;Population density;3.5381
French Polynesia;2005;Population mid-year estimates (millions);0.2588
French Polynesia;2005;Population mid-year estimates for males (millions);0.1326
French Polynesia;2005;Population mid-year estimates for females (millions);0.1262
French Polynesia;2005;Sex ratio (males per 100 females);105.1302
French Polynesia;2005;Population aged 0 to 14 years old (percentage);28.1552
French Polynesia;2005;Population aged 60+ years old (percentage);7.9724
French Polynesia;2005;Population density;70.7049
French Polynesia;2010;Population mid-year estimates (millions);0.2665
French Polynesia;2010;Population mid-year estimates for males (millions);0.1364
French Polynesia;2010;Population mid-year estimates for females (millions);0.1300
French Polynesia;2010;Sex ratio (males per 100 females);104.8835
French Polynesia;2010;Population aged 0 to 14 years old (percentage);25.4797
French Polynesia;2010;Population aged 60+ years old (percentage);9.3051
French Polynesia;2010;Population density;72.8019
French Polynesia;2017;Population mid-year estimates (millions);0.2761
French Polynesia;2017;Population mid-year estimates for males (millions);0.1400
French Polynesia;2017;Population mid-year estimates for females (millions);0.1361
French Polynesia;2017;Sex ratio (males per 100 females);102.8118
French Polynesia;2017;Population aged 0 to 14 years old (percentage);22.8872
French Polynesia;2017;Population aged 60+ years old (percentage);12.2299
French Polynesia;2017;Population density;75.4377
French Polynesia;2017;Surface area (thousand km2);4.0000
French Polynesia;2019;Population mid-year estimates (millions);0.2793
French Polynesia;2019;Population mid-year estimates for males (millions);0.1415
French Polynesia;2019;Population mid-year estimates for females (millions);0.1378
French Polynesia;2019;Sex ratio (males per 100 females);102.6845
French Polynesia;2019;Population aged 0 to 14 years old (percentage);22.5639
French Polynesia;2019;Population aged 60+ years old (percentage);13.0704
French Polynesia;2019;Population density;76.3079
Gabon;2005;Population mid-year estimates (millions);1.3905
Gabon;2005;Population mid-year estimates for males (millions);0.6954
Gabon;2005;Population mid-year estimates for females (millions);0.6952
Gabon;2005;Sex ratio (males per 100 females);100.0342
Gabon;2005;Population aged 0 to 14 years old (percentage);39.3450
Gabon;2005;Population aged 60+ years old (percentage);6.8441
Gabon;2005;Population density;5.3966
Gabon;2010;Population mid-year estimates (millions);1.6241
Gabon;2010;Population mid-year estimates for males (millions);0.8217
Gabon;2010;Population mid-year estimates for females (millions);0.8024
Gabon;2010;Sex ratio (males per 100 females);102.4034
Gabon;2010;Population aged 0 to 14 years old (percentage);37.4332
Gabon;2010;Population aged 60+ years old (percentage);5.9968
Gabon;2010;Population density;6.3032
Gabon;2017;Population mid-year estimates (millions);2.0648
Gabon;2017;Population mid-year estimates for males (millions);1.0518
Gabon;2017;Population mid-year estimates for females (millions);1.0130
Gabon;2017;Sex ratio (males per 100 females);103.8360
Gabon;2017;Population aged 0 to 14 years old (percentage);36.8221
Gabon;2017;Population aged 60+ years old (percentage);5.3608
Gabon;2017;Population density;8.0134
Gabon;2017;Surface area (thousand km2);267.6680
Gabon;2019;Population mid-year estimates (millions);2.1726
Gabon;2019;Population mid-year estimates for males (millions);1.1062
Gabon;2019;Population mid-year estimates for females (millions);1.0664
Gabon;2019;Sex ratio (males per 100 females);103.7328
Gabon;2019;Population aged 0 to 14 years old (percentage);37.1795
Gabon;2019;Population aged 60+ years old (percentage);5.3436
Gabon;2019;Population density;8.4316
Gambia;2005;Population mid-year estimates (millions);1.5437
Gambia;2005;Population mid-year estimates for males (millions);0.7669
Gambia;2005;Population mid-year estimates for females (millions);0.7768
Gambia;2005;Sex ratio (males per 100 females);98.7242
Gambia;2005;Population aged 0 to 14 years old (percentage);46.3209
Gambia;2005;Population aged 60+ years old (percentage);4.2654
Gambia;2005;Population density;152.5436
Gambia;2010;Population mid-year estimates (millions);1.7932
Gambia;2010;Population mid-year estimates for males (millions);0.8899
Gambia;2010;Population mid-year estimates for females (millions);0.9033
Gambia;2010;Sex ratio (males per 100 females);98.5211
Gambia;2010;Population aged 0 to 14 years old (percentage);45.1453
Gambia;2010;Population aged 60+ years old (percentage);4.2534
Gambia;2010;Population density;177.1933
Gambia;2017;Population mid-year estimates (millions);2.2139
Gambia;2017;Population mid-year estimates for males (millions);1.0981
Gambia;2017;Population mid-year estimates for females (millions);1.1158
Gambia;2017;Sex ratio (males per 100 females);98.4130
Gambia;2017;Population aged 0 to 14 years old (percentage);44.3758
Gambia;2017;Population aged 60+ years old (percentage);3.9866
Gambia;2017;Population density;218.7637
Gambia;2017;Surface area (thousand km2);11.2950
Gambia;2019;Population mid-year estimates (millions);2.3477
Gambia;2019;Population mid-year estimates for males (millions);1.1644
Gambia;2019;Population mid-year estimates for females (millions);1.1833
Gambia;2019;Sex ratio (males per 100 females);98.3971
Gambia;2019;Population aged 0 to 14 years old (percentage);44.1271
Gambia;2019;Population aged 60+ years old (percentage);3.9390
Gambia;2019;Population density;231.9868
Georgia;2005;Population mid-year estimates (millions);4.2102
Georgia;2005;Population mid-year estimates for males (millions);2.0068
Georgia;2005;Population mid-year estimates for females (millions);2.2034
Georgia;2005;Sex ratio (males per 100 females);91.0766
Georgia;2005;Population aged 0 to 14 years old (percentage);19.0256
Georgia;2005;Population aged 60+ years old (percentage);18.4475
